customer_key;nome_completo;eta;paese;sesso;tenure_giorni;recency_giorni;numero_ordini;spesa_totale;aov;diversita_categorie;quota_ordini_scontati;numero_ordini_annullati;regolarita_acquisti;metodo_pagamento_prevalente;regolarita_non_calcolabile;mai_acquistato;target_churned
57;Jason Claeys;41;Belgio;Maschio;135;8;6;2361,81;393,63;5;0.000000;2;15,26;PayPal;0;0;No
58;Simonetta Mercadante;43;Italia;Femmina;385;52;12;3099,74;258,31;5;0.000000;4;18,07;Carta di credito;0;0;No
60;Zaira Pagliaro;26;Italia;Femmina;72;20;2;67,86;33,93;2;0.000000;0;1,73;Bonifico bancario;0;0;No
61;Édouard Lecomte;22;Francia;Maschio;47;35;1;380,3;380,3;1;0.000000;2;19,67;Carta di credito;1;0;No
62;Kornel Zubel;28;Polonia;Maschio;1092;26;55;13703,79;249,16;6;0.040000;13;16,59;Bonifico bancario;0;0;No
63;Goffredo Agostinelli;38;Italia;Maschio;1141;1;59;17928,78;303,88;6;0.010000;4;18,67;Carta di credito;0;0;No
64;Pierluigi Giolitti;25;Italia;Maschio;157;3;7;898,15;128,31;5;0.000000;0;16,45;PayPal;0;0;No
65;Suzanne Thibault;47;Francia;Femmina;714;20;35;9838,11;281,09;6;0.000000;5;16,13;Carta di credito;0;0;No
66;Romina Goldoni;33;Italia;Femmina;313;51;18;5587,95;310,44;6;0.030000;1;13,87;Carta di credito;0;0;No
67;Giampaolo Travia;27;Italia;Maschio;1034;11;68;16213,48;238,43;6;0.010000;8;14,57;Contrassegno;0;0;No
68;Marta Caetani;50;Italia;Femmina;157;2;6;1231,78;205,3;3;0.000000;0;7,55;PayPal;0;0;No
69;Ugolino Leonardi;37;Italia;Maschio;952;8;42;11012,44;262,2;6;0.010000;7;20,6;Carta di credito;0;0;No
70;Elodia Castrillo;44;Spagna;Femmina;549;17;22;4835,1;219,78;6;0.050000;5;21,36;PayPal;0;0;No
71;Nino Pizzetti;35;Italia;Maschio;207;35;7;756,46;108,07;5;0.060000;0;17,26;PayPal;0;0;No
72;Konstanze Mosemann;51;Germania;Femmina;336;20;13;2043,29;157,18;6;0.070000;2;24,47;Carta di credito;0;0;No
73;Bas Van Damme;42;Belgio;Maschio;563;27;18;3596,87;199,83;6;0.070000;4;37,72;Carta di credito;0;0;No
75;Luigi Chiappetta;21;Italia;Maschio;1084;0;50;18524,17;370,48;6;0.010000;9;21,17;Carta di credito;0;0;No
76;Kenny Vinck;58;Belgio;Maschio;10;3;1;8,99;8,99;1;0.000000;0;19,67;PayPal;1;0;No
77;David Lauwers;44;Belgio;Maschio;662;37;28;7687,58;274,56;6;0.020000;5;22,15;Bonifico bancario;0;0;No
78;Barbara Scarfoglio;18;Italia;Femmina;4;4;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
79;Ludovica Biagi;51;Italia;Femmina;704;25;33;11648,23;352,98;6;0.020000;3;18,52;PayPal;0;0;No
80;Monica Gianinazzi;41;Italia;Femmina;917;26;46;6814,63;148,14;6;0.030000;6;16,57;Bonifico bancario;0;0;No
81;Marina Esposito;42;Italia;Femmina;5;5;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
82;Rosaria Zanzi;25;Italia;Femmina;1294;29;60;15983,91;266,4;6;0.030000;6;14,92;Carta di credito;0;0;No
83;Jeremi Lemiesz;28;Polonia;Maschio;1096;73;59;8458,7;143,37;6;0.040000;10;15,28;Bonifico bancario;0;0;No
84;Melissa Sousa;41;Brasile;Femmina;741;13;36;11362,39;315,62;6;0.010000;2;16,45;Bonifico bancario;0;0;No
85;Angelica Baggio;43;Italia;Femmina;498;4;17;4152,86;244,29;6;0.030000;0;36,48;Carta di credito;0;0;No
86;Cyprian Pusz;34;Polonia;Maschio;79;15;2;1247,98;623,99;2;0.000000;0;27,73;Carta di credito;0;0;No
87;Concetta Rensi;23;Italia;Femmina;1218;31;45;6823,28;151,63;6;0.000000;12;29,64;Bonifico bancario;0;0;No
88;Valeria Gabba;44;Italia;Femmina;915;18;47;11406,05;242,68;6;0.010000;8;17,77;Contrassegno;0;0;No
89;Virginia Bryant;23;Stati Uniti;Femmina;235;4;10;1798,95;179,9;6;0.000000;0;15,96;PayPal;0;0;No
90;Octavio Sosa;62;Spagna;Maschio;424;7;14;3321,32;237,24;6;0.000000;0;23,74;Bonifico bancario;0;0;No
91;Georges Rey;32;Francia;Maschio;799;19;38;11434,69;300,91;6;0.000000;5;16,51;Carta di credito;0;0;No
92;Teresa Sismondi;59;Italia;Femmina;628;10;28;7899,46;282,12;6;0.000000;3;19,16;Contrassegno;0;0;No
93;Étienne Carlier;21;Francia;Maschio;953;26;52;13397,12;257,64;6;0.060000;6;15,41;PayPal;0;0;No
94;Aldo Lollobrigida;60;Italia;Maschio;177;55;4;884,93;221,23;4;0.000000;2;23,26;Carta di credito;0;0;No
95;David Williams;50;Australia;Maschio;419;12;16;3053,23;190,83;6;0.000000;2;19,97;Carta di credito;0;0;No
96;Leonardo Palladio;28;Italia;Maschio;601;19;26;8011,62;308,14;6;0.000000;2;19,25;PayPal;0;0;No
97;Lucie Schwaiger;28;Austria;Femmina;11;11;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
98;Angelina Guarana;40;Italia;Femmina;481;8;48;14551,86;303,16;6;0.050000;5;8,03;Contrassegno;0;0;No
99;Cesare Folliero;25;Italia;Maschio;849;22;39;5247,38;134,55;6;0.010000;5;21,46;PayPal;0;0;No
100;Emmi Steinberg;32;Germania;Femmina;173;11;5;1650,77;330,15;3;0.000000;1;26,86;Carta di credito;0;0;No
101;Sebastian Oberleitner;28;Austria;Maschio;642;32;38;16068,5;422,86;6;0.000000;2;13,45;Bonifico bancario;0;0;No
102;Sandra Bompiani;55;Italia;Femmina;465;5;24;6399,5;266,65;6;0.020000;5;15,85;PayPal;0;0;No
103;Amedeo Caracciolo;24;Italia;Maschio;982;46;50;13185,48;263,71;6;0.010000;10;18,65;Bonifico bancario;0;0;No
104;Federica Bignardi;34;Italia;Femmina;665;0;57;12840,31;225,27;6;0.030000;11;11,86;Carta di credito;0;0;No
105;Fabian Wijland;57;Paesi Bassi;Maschio;1304;1;54;13856,72;256,61;6;0.040000;8;17,77;Bonifico bancario;0;0;No
106;桃子 佐藤;18;Giappone;Femmina;31;31;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
108;Mariano Schicchi;24;Italia;Maschio;1203;13;91;22275,1;244,78;6;0.030000;20;11,29;Contrassegno;0;0;No
109;Ida Pinamonte;19;Italia;Femmina;269;8;8;1019,93;127,49;6;0.000000;2;22,48;Carta di credito;0;0;No
110;Jamie Arnold;62;Stati Uniti;Femmina;649;39;29;6291,28;216,94;6;0.020000;2;18,98;PayPal;0;0;No
111;智也 山口;63;Giappone;Maschio;1192;89;64;15059,61;235,31;6;0.010000;5;15,34;Bonifico bancario;0;0;No
112;Rosa María Mateo;54;Spagna;Femmina;539;26;30;6372,2;212,41;6;0.010000;2;14,59;Bonifico bancario;0;0;No
113;Merche Esteve;26;Spagna;Femmina;484;13;21;4810,7;229,08;6;0.000000;2;20,92;Bonifico bancario;0;0;No
114;Lina Bombieri;22;Italia;Femmina;184;5;6;303,22;50,54;4;0.000000;1;31,35;Bonifico bancario;0;0;No
115;Bas Van Dessel;40;Belgio;Maschio;150;10;9;1731,85;192,43;5;0.000000;2;16,07;Bonifico bancario;0;0;No
116;Rosaria Natta;22;Italia;Femmina;305;44;4;3491,23;872,81;2;0.000000;2;76,94;PayPal;0;0;No
117;Inês Coelho;18;Portogallo;Femmina;129;19;5;1761,72;352,34;5;0.000000;0;19,52;PayPal;0;0;No
118;Gianfrancesco Saragat;32;Italia;Maschio;237;0;6;1043,9;173,98;5;0.000000;1;24,84;Bonifico bancario;0;0;No
119;Germana Trobbiani;42;Italia;Femmina;823;22;47;10241,91;217,91;6;0.010000;5;13,74;Bonifico bancario;0;0;No
120;Ida Letta;33;Italia;Femmina;217;5;17;7019,6;412,92;6;0.100000;4;10,79;Carta di credito;0;0;No
121;Encarna Puerta;36;Spagna;Femmina;745;44;32;6007,59;187,74;6;0.020000;15;19,91;PayPal;0;0;No
122;Federica Endrizzi;52;Italia;Femmina;348;16;10;2840,13;284,01;6;0.050000;1;32,59;Contrassegno;0;0;No
123;Gemma Ferragamo;55;Italia;Femmina;687;7;37;9830,26;265,68;6;0.040000;6;17,23;Bonifico bancario;0;0;No
124;Oliwier Żelasko;34;Polonia;Maschio;775;60;42;13845,79;329,66;6;0.010000;3;17,4;PayPal;0;0;No
125;Águeda Pintor;37;Spagna;Femmina;968;6;50;8765,18;175,3;6;0.010000;9;17,19;PayPal;0;0;No
126;Ivo Accardo;38;Italia;Maschio;745;19;42;14589,36;347,37;6;0.000000;3;17,62;PayPal;0;0;No
127;Mariana Brambilla;41;Italia;Femmina;895;25;40;7008,24;175,21;6;0.030000;9;18,12;PayPal;0;0;No
128;Ezio Marazzi;29;Italia;Maschio;367;8;16;2638,08;164,88;6;0.030000;0;17,53;Carta di credito;0;0;No
129;Anita Zetticci;50;Italia;Femmina;392;91;15;1447,03;96,47;5;0.000000;3;20,13;PayPal;0;0;No
130;Evelia Chacón;49;Spagna;Femmina;891;18;45;14924,99;331,67;6;0.020000;4;17,79;PayPal;0;0;No
131;Alba Samper;30;Spagna;Femmina;1203;22;66;16018,12;242,7;6;0.010000;9;15,95;Bonifico bancario;0;0;No
133;Luna Da Mota;53;Brasile;Femmina;1173;10;59;12854,64;217,88;6;0.050000;8;17,15;PayPal;0;0;No
134;Justyna Cegła;36;Polonia;Femmina;82;58;1;14,99;14,99;1;0.000000;2;19,67;Bonifico bancario;1;0;No
135;Nathan Santner;48;Austria;Maschio;519;15;19;3550;186,84;6;0.060000;1;21,61;Carta di credito;0;0;No
136;Nadia Lancisi;47;Italia;Femmina;375;2;19;2999,71;157,88;6;0.030000;4;16,11;Carta di credito;0;0;Si
137;くみ子 前田;43;Giappone;Femmina;1045;1;65;11559,77;177,84;6;0.030000;7;18,81;PayPal;0;0;No
138;Pénélope Bigot;40;Francia;Femmina;398;12;15;5518,45;367,9;6;0.030000;2;20,04;Bonifico bancario;0;0;No
139;Gianluca Bianchi;37;Italia;Maschio;492;0;14;5775,96;412,57;6;0.040000;4;29,72;Bonifico bancario;0;0;No
140;Jonas Gnatz;48;Germania;Maschio;452;3;13;1806,37;138,95;6;0.000000;2;39,7;Bonifico bancario;0;0;No
141;Kathryn Thompson;31;Canada;Femmina;26;26;0;0;0;0;0.000000;1;19,67;N/A;1;1;No
142;Romana Bonatti;51;Italia;Femmina;1062;8;52;8752,79;168,32;6;0.010000;5;20,74;Contrassegno;0;0;No
144;Samuel Van Dommelen;29;Paesi Bassi;Maschio;506;19;15;4183,03;278,87;6;0.000000;1;26,25;Bonifico bancario;0;0;No
146;Ruggero Romagnoli;48;Italia;Maschio;642;13;63;16992,95;269,73;6;0.010000;6;9,1;Bonifico bancario;0;0;No
147;Melina Miniati;45;Italia;Femmina;818;32;52;14047,84;270,15;6;0.030000;5;10,86;Carta di credito;0;0;No
148;Jenna Sharp;41;Stati Uniti;Femmina;901;0;49;9093,28;185,58;6;0.020000;8;16,63;Carta di credito;0;0;No
149;Tabea Geisler;46;Germania;Femmina;236;71;2;395,29;197,65;2;0.000000;2;19,67;Carta di credito;1;0;No
150;Apolonia Piotrkowicz;37;Polonia;Femmina;1007;14;53;12138,01;229,02;6;0.030000;8;15,33;PayPal;0;0;No
151;Lidia Boba;51;Polonia;Femmina;929;2;48;11189,64;233,12;6;0.020000;4;21,88;Bonifico bancario;0;0;No
152;Frida Kühnert;30;Germania;Femmina;592;31;15;5291,23;352,75;6;0.000000;2;27,76;Bonifico bancario;0;0;No
154;Costantino Marangoni;44;Italia;Maschio;89;0;4;901,68;225,42;5;0.000000;0;9,61;PayPal;0;0;No
155;Leonard Wiedner;39;Austria;Maschio;558;55;21;6076,59;289,36;6;0.020000;3;20,64;PayPal;0;0;No
156;Lorenzo Paolini;41;Italia;Maschio;106;0;4;340,15;85,04;4;0.000000;1;21,5;PayPal;0;0;No
157;Elvira Maccanelli;42;Italia;Femmina;600;6;20;2701,28;135,06;6;0.030000;4;23,97;Carta di credito;0;0;No
158;Martino Travaglia;44;Italia;Maschio;1009;42;100;17965,22;179,65;6;0.020000;15;8,73;Contrassegno;0;0;No
159;稔 井上;28;Giappone;Maschio;1227;16;74;18038,32;243,76;6;0.030000;11;11,83;Carta di credito;0;0;No
160;Gianna Vidoni;31;Italia;Femmina;1238;1;63;13080,64;207,63;6;0.020000;6;14,75;Carta di credito;0;0;No
161;Ronya Haller;34;Austria;Femmina;837;5;78;20187,01;258,81;6;0.020000;17;8,49;PayPal;0;0;No
162;Calogero Giannini;23;Italia;Maschio;482;71;24;4901,5;204,23;6;0.040000;1;17,11;Contrassegno;0;0;No
163;Annibale Donarelli;47;Italia;Maschio;487;71;14;2500,54;178,61;6;0.040000;4;20,35;Bonifico bancario;0;0;No
164;Serafina Carnera;34;Italia;Femmina;673;25;29;10311,71;355,58;6;0.000000;7;20,68;Carta di credito;0;0;No
165;Allen Pierce;23;Stati Uniti;Maschio;531;3;15;4667,45;311,16;6;0.030000;5;29,89;Carta di credito;0;0;No
166;Elvira Mercati;36;Italia;Femmina;265;7;15;2611,09;174,07;6;0.000000;0;14,48;PayPal;0;0;No
167;Annemijn Van Cuijck;42;Paesi Bassi;Femmina;101;34;4;466,02;116,51;5;0.000000;0;13,54;PayPal;0;0;No
168;Fenna Wensen;51;Paesi Bassi;Femmina;122;60;2;444,77;222,38;3;0.000000;1;9,9;Bonifico bancario;0;0;No
169;Romina Alboni;31;Italia;Femmina;401;18;17;4982,95;293,11;6;0.000000;2;17,05;PayPal;0;0;No
170;Maryam Heijmen;50;Paesi Bassi;Femmina;641;29;29;5531,72;190,75;6;0.020000;5;19,25;PayPal;0;0;No
171;Brian Evans;28;Regno Unito;Maschio;215;41;4;2114,35;528,59;3;0.000000;0;32,51;PayPal;0;0;No
172;Dion Blom;38;Paesi Bassi;Maschio;510;2;21;3962,44;188,69;6;0.000000;4;18,61;Carta di credito;0;0;No
174;Dorothee Grein Groth;41;Germania;Femmina;430;28;11;4840,48;440,04;5;0.000000;2;26,91;Carta di credito;0;0;No
175;André Pereira;37;Brasile;Maschio;291;21;8;3281,93;410,24;4;0.000000;0;28,84;PayPal;0;0;No
176;Pablo Dalmau;50;Spagna;Maschio;368;31;17;2642,22;155,42;6;0.030000;3;18,98;Carta di credito;0;0;No
177;Alina Pozzecco;48;Italia;Femmina;177;34;4;244,26;61,06;5;0.000000;1;10,21;PayPal;0;0;No
178;Vittorio Cimini;29;Italia;Maschio;210;33;7;1328,48;189,78;4;0.000000;1;17,93;Contrassegno;0;0;No
179;Sonia Jockel;51;Germania;Femmina;1144;15;59;14847,62;251,65;6;0.020000;11;15,76;PayPal;0;0;No
180;Rudy Mahieu;35;Belgio;Maschio;1046;32;50;14428,95;288,58;6;0.010000;5;18,1;Carta di credito;0;0;No
181;Jamie Kucera;46;Austria;Maschio;538;72;13;4452,85;342,53;5;0.000000;6;34,12;Carta di credito;0;0;No
182;Martina Henk;36;Germania;Femmina;101;29;1;59,51;59,51;1;0.000000;1;19,67;PayPal;1;0;No
183;Benito Cibin;23;Italia;Maschio;850;15;54;8613,39;159,51;6;0.060000;8;12,84;PayPal;0;0;No
184;Maricruz Cantón;36;Spagna;Femmina;581;7;45;6748,27;149,96;6;0.000000;17;10,63;Bonifico bancario;0;0;No
185;Justyna Malisz;53;Polonia;Femmina;485;35;21;5717,6;272,27;6;0.000000;2;14,7;PayPal;0;0;No
186;Cristina Abba;23;Italia;Femmina;1015;23;60;9779,26;162,99;6;0.030000;10;13,66;PayPal;0;0;No
187;Licia Comeriato;53;Italia;Femmina;344;4;16;4830,25;301,89;6;0.130000;2;16,77;PayPal;0;0;No
188;香織 青木;38;Giappone;Femmina;730;79;38;6366,09;167,53;6;0.030000;5;14,37;Carta di credito;0;0;No
189;Malwina Tonder;40;Polonia;Femmina;698;11;32;5467,89;170,87;6;0.070000;5;17,86;Bonifico bancario;0;0;No
190;Nick Wouters;27;Belgio;Maschio;914;145;52;12291,29;236,37;6;0.030000;9;14,37;PayPal;0;0;No
191;Roksana Jarmużek;37;Polonia;Femmina;378;8;32;5822,68;181,96;6;0.080000;5;8,59;PayPal;0;0;No
192;Tatiana Sagredo;47;Italia;Femmina;1018;21;53;8986,09;169,55;6;0.030000;7;15,87;Bonifico bancario;0;0;No
193;Telemaco Baglioni;33;Italia;Maschio;960;114;53;12976,92;244,85;6;0.020000;8;15,77;PayPal;0;0;No
194;Ben De Neve;59;Belgio;Maschio;664;21;30;8693,1;289,77;6;0.000000;6;16,71;Carta di credito;0;0;No
195;Liana Bazzi;27;Italia;Femmina;986;44;51;13318,07;261,14;6;0.020000;11;19,1;Contrassegno;0;0;No
196;Liliana Sauro;27;Italia;Femmina;16;14;1;400,56;400,56;2;0.000000;1;19,67;PayPal;1;0;No
197;Pasqual Versace;28;Italia;Maschio;192;19;4;1528,47;382,12;6;0.000000;1;25,14;Bonifico bancario;0;0;No
198;Claudia Taccola;37;Italia;Femmina;577;10;24;5495,76;228,99;6;0.000000;4;19,08;Bonifico bancario;0;0;No
199;Seppe Goovaerts;43;Belgio;Maschio;277;28;9;1950,9;216,77;6;0.000000;1;18,7;PayPal;0;0;No
200;Jorge Menéndez;46;Spagna;Maschio;152;43;6;1117,86;186,31;4;0.000000;1;14,2;Bonifico bancario;0;0;No
201;Aimé Leleu;40;Francia;Maschio;654;63;32;9460,69;295,65;6;0.060000;4;15,72;PayPal;0;0;No
202;Desiderio Andrade;26;Spagna;Maschio;777;1;37;12606,45;340,71;6;0.040000;5;18,93;Carta di credito;0;0;Si
203;Lazzaro Bettin;50;Italia;Maschio;1217;12;44;12005,06;272,84;6;0.030000;8;19,95;Bonifico bancario;0;0;No
204;Luisa Canil;24;Italia;Femmina;24;2;1;25,13;25,13;1;0.000000;0;19,67;Carta di credito;1;0;No
205;Patrizia Paganini;18;Italia;Femmina;39;39;0;0;0;0;0.000000;0;19,67;N/A;1;1;No
207;Oreste Sauro;49;Italia;Maschio;1042;3;49;10158,29;207,31;6;0.000000;14;24,1;Carta di credito;0;0;No
208;Justin Mosley;44;Canada;Maschio;171;0;5;184,19;36,84;4;0.000000;1;32,88;PayPal;0;0;No
210;Eleanora Botticelli;56;Italia;Femmina;982;14;58;15928,3;274,63;6;0.010000;7;17,7;Contrassegno;0;0;No
211;Marcel Pietrek;25;Polonia;Maschio;451;3;21;2307,36;109,87;6;0.000000;4;20,07;PayPal;0;0;No
212;Ennio Surian;29;Italia;Maschio;607;24;25;2794,35;111,77;6;0.040000;4;21,51;Bonifico bancario;0;0;No
213;Emilia Rubio;29;Spagna;Femmina;669;23;30;5372,62;179,09;6;0.030000;5;20,8;Carta di credito;0;0;No
214;Britt Ring;29;Germania;Femmina;394;4;17;7729,58;454,68;6;0.030000;2;19,2;Bonifico bancario;0;0;No
215;Romana Armani;48;Italia;Femmina;869;51;34;7452,37;219,19;6;0.080000;8;19,12;Contrassegno;0;0;No
216;Roksana Folga;26;Polonia;Femmina;892;15;52;12960,05;249,23;6;0.050000;7;14,86;Carta di credito;0;0;No
217;Gianluigi Baglioni;54;Italia;Maschio;954;4;49;11689,07;238,55;6;0.030000;8;18,72;Bonifico bancario;0;0;No
218;Tina Beccheria;41;Italia;Femmina;71;29;3;156,67;52,22;3;0.000000;2;9,63;Contrassegno;0;0;No
219;Loretta Sismondi;22;Italia;Femmina;377;0;26;4436,97;170,65;6;0.000000;6;11,51;PayPal;0;0;No
220;Gelsomina Benedetti;24;Italia;Femmina;444;115;15;3985,78;265,72;6;0.000000;3;16,85;Contrassegno;0;0;No
221;Ennio Notarbartolo;44;Italia;Maschio;93;1;3;1223,34;407,78;5;0.000000;0;16,5;Carta di credito;0;0;No
222;陽一 木村;33;Giappone;Maschio;391;3;16;4080,33;255,02;5;0.030000;7;18,51;Bonifico bancario;0;0;No
223;Ivan Gerrits;38;Paesi Bassi;Maschio;867;11;36;5943,67;165,1;6;0.050000;10;23,32;Bonifico bancario;0;0;No
224;Ignazio Tozzo;54;Italia;Maschio;0;0;0;0;0;0;0.000000;0;19,67;N/A;1;1;Si
225;Emma Moore;40;Regno Unito;Femmina;257;23;10;2944,46;294,45;6;0.050000;0;21,92;PayPal;0;0;No
226;Kenneth Cline;36;Canada;Maschio;967;4;56;15218,98;271,77;6;0.030000;6;15,1;Carta di credito;0;0;No
227;Kaja Grabias;26;Polonia;Femmina;765;125;40;10233,19;255,83;6;0.030000;8;15,16;PayPal;0;0;No
228;Nicolas Moosbrugger;53;Austria;Maschio;1268;49;61;15797,98;258,98;6;0.030000;9;14,57;PayPal;0;0;No
229;Ewelina Pezda;30;Polonia;Femmina;339;18;12;3592,93;299,41;6;0.040000;1;25,38;Carta di credito;0;0;No
230;Maurice Frühwirth;43;Austria;Maschio;1248;44;55;11682,08;212,4;6;0.010000;9;17,38;Carta di credito;0;0;No
231;Claudia Ricciardi;41;Italia;Femmina;139;15;7;1732,96;247,57;6;0.050000;1;13,36;PayPal;0;0;No
