customer_key;nome_completo;eta;paese;sesso;tenure_giorni;recency_giorni;frequency;monetary;frequency_normalizzata;regolarita_acquisti;regolarita_non_calcolabile;aov;diversita_categorie;quota_ordini_scontati;numero_ordini_annullati;metodo_pagamento_prevalente
27;Elladio Filzi;43;Italia;Maschio;501;32;15;4748,23;0.900000000000000000;34,44;0;316,55;6;0.060000;2;Contrassegno
28;Michael Colon;22;Stati Uniti;Maschio;248;50;6;329,96;0.730000000000000000;34,47;0;54,99;6;0.000000;3;Bonifico bancario
29;Lauretta Lercari;46;Italia;Femmina;157;31;3;339,41;0.570000000000000000;19,8;0;113,14;4;0.000000;0;PayPal
30;Cipriano Aragonés;28;Spagna;Maschio;885;41;32;5805,36;1.080000000000000000;34,12;0;181,42;6;0.020000;10;Bonifico bancario
31;Tiziano Ovadia;43;Italia;Maschio;776;2;37;7030,5;1.430000000000000000;25,72;0;190,01;6;0.050000;3;Contrassegno
32;Sara Lopes;49;Portogallo;Femmina;508;37;16;2408,08;0.940000000000000000;36,78;0;150,5;6;0.120000;1;Bonifico bancario
33;Hannah Schiffer;18;Paesi Bassi;Femmina;80;2;7;345,14;2.630000000000000000;10,78;0;49,31;4;0.000000;0;Carta di credito
34;Terry Kirby;42;Regno Unito;Maschio;646;32;28;6711,76;1.300000000000000000;24,7;0;239,71;6;0.040000;6;Carta di credito
35;Dirk Lambrecht;43;Belgio;Maschio;318;16;9;1476,69;0.850000000000000000;26,63;0;164,08;6;0.000000;1;Bonifico bancario
36;Alina Bottaro;70;Italia;Femmina;592;58;17;6676,89;0.860000000000000000;36,45;0;392,76;5;0.040000;6;Bonifico bancario
37;Aurora Manolesso;39;Italia;Femmina;1277;8;66;12535,43;1.550000000000000000;19,32;0;189,93;6;0.040000;11;Carta di credito
38;Amir Reynders;25;Belgio;Maschio;450;19;11;4275,63;0.730000000000000000;47,42;0;388,69;6;0.000000;4;PayPal
39;Paloma Durante;46;Italia;Femmina;1152;6;57;10080,41;1.480000000000000000;20,27;0;176,85;6;0.010000;11;PayPal
40;Ubaldo Montessori;38;Italia;Maschio;102;26;3;221,6;0.880000000000000000;17,68;0;73,87;3;0.000000;0;PayPal
41;Carlo Pedersoli;35;Italia;Maschio;733;32;25;7148,92;1.020000000000000000;22,05;0;285,96;6;0.000000;6;Contrassegno
42;Arthur Marquez;31;Stati Uniti;Maschio;674;38;28;7067,24;1.250000000000000000;23,45;0;252,4;6;0.000000;3;PayPal
43;Mathias Jesus;21;Brasile;Maschio;1029;0;107;16786,94;3.120000000000000000;9,63;0;156,89;6;0.030000;26;Bonifico bancario
44;Pina Interminelli;22;Italia;Femmina;62;18;6;332,1;2.900000000000000000;5,45;0;55,35;4;0.130000;1;Contrassegno
45;Antonella Munari;18;Italia;Femmina;56;13;1;77,84;0.540000000000000000;21,95;1;77,84;1;0.000000;0;PayPal
46;Pier Camanni;40;Italia;Maschio;78;41;3;278,58;1.150000000000000000;5,66;0;92,86;3;0.000000;0;Contrassegno
47;Rafaela Caldeira;32;Brasile;Femmina;738;18;34;8570,63;1.380000000000000000;24,38;0;252,08;6;0.020000;3;Carta di credito
48;Luciana Turchi;37;Italia;Femmina;43;12;2;57,43;1.400000000000000000;21,95;1;28,71;2;0.000000;0;PayPal
49;Gust Mertens;26;Belgio;Maschio;521;35;25;5105,98;1.440000000000000000;16,31;0;204,24;6;0.050000;3;PayPal
50;Giuliana Falloppio;47;Italia;Femmina;461;12;16;7148,56;1.040000000000000000;23,32;0;446,79;6;0.000000;0;PayPal
51;Amleto Lettiere;50;Italia;Maschio;251;24;13;2799,41;1.550000000000000000;20,35;0;215,34;6;0.000000;3;Carta di credito
52;Martha Bodner;42;Austria;Femmina;330;2;24;11201,06;2.180000000000000000;11,24;0;466,71;6;0.000000;4;Carta di credito
53;Jessica Bowers;48;Australia;Femmina;174;12;10;1860,87;1.720000000000000000;13,66;0;186,09;4;0.000000;2;Bonifico bancario
54;Fredo Delle;53;Italia;Maschio;772;22;35;8413,33;1.360000000000000000;21,22;0;240,38;6;0.020000;7;Carta di credito
55;Valeria Scotti;57;Italia;Femmina;113;0;5;1289,08;1.330000000000000000;15,63;0;257,82;4;0.000000;0;Bonifico bancario
56;Roy Stoll;44;Germania;Maschio;974;8;52;10713,91;1.600000000000000000;15,95;0;206,04;6;0.040000;10;PayPal
57;Jason Claeys;41;Belgio;Maschio;196;10;12;3700,37;1.840000000000000000;13,4;0;308,36;5;0.000000;3;PayPal
58;Simonetta Mercadante;43;Italia;Femmina;446;3;16;5366,01;1.080000000000000000;18,56;0;335,38;5;0.000000;4;Carta di credito
59;Joerg Dippel;18;Germania;Maschio;14;6;1;11,12;1.000000000000000000;21,95;1;11,12;1;0.000000;0;Bonifico bancario
60;Zaira Pagliaro;26;Italia;Femmina;133;7;9;3497,55;2.030000000000000000;9,41;0;388,62;6;0.100000;2;Carta di credito
61;Édouard Lecomte;22;Francia;Maschio;108;2;3;561,91;0.830000000000000000;24,04;0;187,3;3;0.000000;3;PayPal
62;Kornel Zubel;29;Polonia;Maschio;1153;28;57;16099,12;1.480000000000000000;19,55;0;282,44;6;0.030000;13;PayPal
63;Goffredo Agostinelli;38;Italia;Maschio;1202;8;63;19800,38;1.570000000000000000;23,33;0;314,29;6;0.010000;5;Carta di credito
64;Pierluigi Giolitti;25;Italia;Maschio;218;31;9;1149,47;1.240000000000000000;16,99;0;127,72;5;0.000000;0;PayPal
65;Suzanne Thibault;47;Francia;Femmina;775;13;40;10177,74;1.550000000000000000;16,54;0;254,44;6;0.010000;6;Bonifico bancario
66;Romina Goldoni;34;Italia;Femmina;374;3;20;5648,82;1.600000000000000000;21,2;0;282,44;6;0.020000;1;Carta di credito
67;Giampaolo Travia;27;Italia;Maschio;1095;4;75;18285,61;2.050000000000000000;17,72;0;243,81;6;0.010000;8;Contrassegno
68;Marta Caetani;50;Italia;Femmina;218;11;9;1313,76;1.240000000000000000;11,03;0;145,97;4;0.000000;1;PayPal
69;Ugolino Leonardi;37;Italia;Maschio;1013;13;47;12429,33;1.390000000000000000;24,58;0;264,45;6;0.040000;7;Contrassegno
70;Elodia Castrillo;44;Spagna;Femmina;610;55;23;7318,73;1.130000000000000000;22,41;0;318,21;6;0.050000;5;PayPal
71;Nino Pizzetti;35;Italia;Maschio;268;6;10;1257,31;1.120000000000000000;16,79;0;125,73;6;0.050000;0;PayPal
72;Konstanze Mosemann;51;Germania;Femmina;397;13;17;2318,05;1.280000000000000000;31,22;0;136,36;6;0.060000;2;Carta di credito
73;Bas Van Damme;43;Belgio;Maschio;624;10;20;3762,03;0.960000000000000000;43,18;0;188,1;6;0.110000;4;Carta di credito
75;Luigi Chiappetta;22;Italia;Maschio;1145;46;53;19114,96;1.390000000000000000;25,05;0;360,66;6;0.010000;10;Bonifico bancario
76;Kenny Vinck;58;Belgio;Maschio;71;1;4;229,52;1.690000000000000000;20,78;0;57,38;3;0.000000;0;Bonifico bancario
77;David Lauwers;44;Belgio;Maschio;723;13;30;8119,67;1.240000000000000000;27,46;0;270,66;6;0.020000;5;Bonifico bancario
78;Barbara Scarfoglio;18;Italia;Femmina;65;46;1;22,91;0.460000000000000000;21,95;1;22,91;1;0.000000;0;PayPal
79;Ludovica Biagi;51;Italia;Femmina;765;25;35;11746,97;1.370000000000000000;21,46;0;335,63;6;0.020000;3;PayPal
80;Monica Gianinazzi;41;Italia;Femmina;978;35;48;6928,72;1.470000000000000000;18,93;0;144,35;6;0.030000;6;Bonifico bancario
81;Marina Esposito;42;Italia;Femmina;66;27;1;134,84;0.450000000000000000;21,95;1;134,84;1;0.000000;0;Bonifico bancario
82;Rosaria Zanzi;25;Italia;Femmina;1355;12;64;17790,62;1.420000000000000000;17,64;0;277,98;6;0.050000;6;Carta di credito
83;Jeremi Lemiesz;28;Polonia;Maschio;1157;19;61;8594,48;1.580000000000000000;19,87;0;140,89;6;0.040000;10;PayPal
84;Melissa Sousa;41;Brasile;Femmina;802;6;38;11998,94;1.420000000000000000;18,31;0;315,76;6;0.010000;2;PayPal
85;Angelica Baggio;44;Italia;Femmina;559;7;19;4188,92;1.020000000000000000;49,59;0;220,47;6;0.020000;1;Carta di credito
86;Cyprian Pusz;34;Polonia;Maschio;140;59;3;1340,89;0.640000000000000000;31,82;0;446,96;3;0.000000;0;Carta di credito
87;Concetta Rensi;23;Italia;Femmina;1279;26;48;7200,45;1.130000000000000000;37,92;0;150,01;6;0.010000;12;Bonifico bancario
88;Valeria Gabba;44;Italia;Femmina;976;10;53;12958,93;1.630000000000000000;19,43;0;244,51;6;0.020000;8;PayPal
89;Virginia Bryant;23;Stati Uniti;Femmina;296;13;15;2073,3;1.520000000000000000;14,15;0;138,22;6;0.000000;0;PayPal
90;Octavio Sosa;62;Spagna;Maschio;485;13;17;3978,88;1.050000000000000000;23,28;0;234,05;6;0.000000;1;PayPal
91;Georges Rey;32;Francia;Maschio;860;19;40;11938,64;1.400000000000000000;17,32;0;298,47;6;0.010000;6;Carta di credito
92;Teresa Sismondi;59;Italia;Femmina;689;4;30;9456,91;1.310000000000000000;23,78;0;315,23;6;0.000000;4;Bonifico bancario
93;Étienne Carlier;21;Francia;Maschio;1014;17;56;14236,2;1.660000000000000000;17,11;0;254,22;6;0.060000;7;Bonifico bancario
94;Aldo Lollobrigida;61;Italia;Maschio;238;4;11;1557,48;1.390000000000000000;23,37;0;141,59;6;0.000000;3;Contrassegno
95;David Williams;50;Australia;Maschio;480;5;22;3545,13;1.380000000000000000;20,02;0;161,14;6;0.030000;3;Bonifico bancario
96;Leonardo Palladio;28;Italia;Maschio;662;1;29;8529,45;1.310000000000000000;21,65;0;294,12;6;0.000000;2;Contrassegno
97;Lucie Schwaiger;28;Austria;Femmina;72;31;3;945,63;1.250000000000000000;10,61;0;315,21;2;0.000000;1;Bonifico bancario
98;Angelina Guarana;40;Italia;Femmina;542;3;54;15705,64;2.990000000000000000;9,18;0;290,85;6;0.050000;6;PayPal
99;Cesare Folliero;26;Italia;Maschio;910;14;42;5437,2;1.380000000000000000;24,41;0;129,46;6;0.030000;6;Contrassegno
100;Emmi Steinberg;32;Germania;Femmina;234;15;8;2547,96;1.030000000000000000;21,94;0;318,5;5;0.000000;1;PayPal
101;Sebastian Oberleitner;28;Austria;Maschio;703;3;41;16604,41;1.750000000000000000;16,08;0;404,99;6;0.000000;3;PayPal
102;Sandra Bompiani;56;Italia;Femmina;526;21;26;6803,96;1.480000000000000000;17,58;0;261,69;6;0.020000;7;Contrassegno
103;Amedeo Caracciolo;24;Italia;Maschio;1043;27;53;14541,27;1.520000000000000000;23,41;0;274,36;6;0.010000;10;PayPal
104;Federica Bignardi;35;Italia;Femmina;726;0;62;14004,48;2.560000000000000000;14,31;0;225,88;6;0.020000;13;Bonifico bancario
105;Fabian Wijland;58;Paesi Bassi;Maschio;1365;47;56;13923,68;1.230000000000000000;21,45;0;248,64;6;0.040000;9;Carta di credito
106;桃子 佐藤;18;Giappone;Femmina;92;14;2;64,45;0.650000000000000000;21,95;1;32,23;2;0.000000;0;PayPal
108;Mariano Schicchi;24;Italia;Maschio;1264;22;97;26548,5;2.300000000000000000;13,65;0;273,7;6;0.030000;21;Contrassegno
109;Ida Pinamonte;19;Italia;Femmina;330;36;10;1092,35;0.910000000000000000;25,41;0;109,23;6;0.000000;3;Carta di credito
110;Jamie Arnold;62;Stati Uniti;Femmina;710;35;33;7382,53;1.390000000000000000;22,05;0;223,71;6;0.020000;2;Carta di credito
111;智也 山口;63;Giappone;Maschio;1253;0;67;15921,46;1.600000000000000000;23,4;0;237,63;6;0.010000;7;Carta di credito
112;Rosa María Mateo;54;Spagna;Femmina;600;25;33;6866,02;1.650000000000000000;18,3;0;208,06;6;0.030000;2;PayPal
113;Merche Esteve;26;Spagna;Femmina;545;43;23;4838,31;1.270000000000000000;24,5;0;210,36;6;0.000000;2;Bonifico bancario
114;Lina Bombieri;22;Italia;Femmina;245;1;13;1774,59;1.590000000000000000;25,74;0;136,51;6;0.000000;2;Bonifico bancario
115;Bas Van Dessel;40;Belgio;Maschio;211;38;14;2393,6;1.990000000000000000;16,29;0;170,97;6;0.000000;2;Bonifico bancario
116;Rosaria Natta;22;Italia;Femmina;366;3;7;3595,22;0.570000000000000000;72,67;0;513,6;5;0.000000;2;PayPal
117;Inês Coelho;18;Portogallo;Femmina;190;30;9;2653,66;1.420000000000000000;17,78;0;294,85;5;0.000000;0;PayPal
118;Gianfrancesco Saragat;32;Italia;Maschio;298;8;9;1892,43;0.910000000000000000;28,77;0;210,27;5;0.060000;2;Bonifico bancario
119;Germana Trobbiani;42;Italia;Femmina;884;26;49;11611,28;1.660000000000000000;15,64;0;236,96;6;0.020000;5;Contrassegno
120;Ida Letta;33;Italia;Femmina;278;3;23;9735,32;2.480000000000000000;12,37;0;423,27;6;0.090000;6;Bonifico bancario
121;Encarna Puerta;37;Spagna;Femmina;806;4;37;7523,06;1.380000000000000000;21,87;0;203,33;6;0.010000;15;PayPal
122;Federica Endrizzi;52;Italia;Femmina;409;5;13;6080,71;0.950000000000000000;38,04;0;467,75;6;0.030000;1;Contrassegno
123;Gemma Ferragamo;55;Italia;Femmina;748;0;43;12217,8;1.720000000000000000;19,41;0;284,13;6;0.050000;7;Contrassegno
124;Oliwier Żelasko;34;Polonia;Maschio;836;17;44;13915,05;1.580000000000000000;21,33;0;316,25;6;0.010000;3;PayPal
125;Águeda Pintor;38;Spagna;Femmina;1029;28;52;9202,43;1.520000000000000000;18,87;0;176,97;6;0.010000;10;PayPal
126;Ivo Accardo;38;Italia;Maschio;806;10;46;15013,75;1.710000000000000000;21,03;0;326,39;6;0.000000;4;Bonifico bancario
127;Mariana Brambilla;41;Italia;Femmina;956;5;42;7160,73;1.320000000000000000;20,45;0;170,49;6;0.020000;9;Bonifico bancario
128;Ezio Marazzi;30;Italia;Maschio;428;39;19;2699,53;1.330000000000000000;21,54;0;142,08;6;0.020000;0;PayPal
129;Anita Zetticci;50;Italia;Femmina;453;30;18;2251,06;1.190000000000000000;30,5;0;125,06;5;0.030000;4;PayPal
130;Evelia Chacón;49;Spagna;Femmina;952;12;49;15547,24;1.540000000000000000;21,48;0;317,29;6;0.030000;4;Carta di credito
131;Alba Samper;30;Spagna;Femmina;1264;17;69;16803,8;1.640000000000000000;18,82;0;243,53;6;0.020000;9;Carta di credito
133;Luna Da Mota;53;Brasile;Femmina;1234;49;61;13100,89;1.480000000000000000;18,86;0;214,77;6;0.050000;9;Carta di credito
134;Justyna Cegła;36;Polonia;Femmina;143;10;5;2572,25;1.050000000000000000;33,51;0;514,45;4;0.000000;2;PayPal
135;Nathan Santner;48;Austria;Maschio;580;58;20;3566,29;1.030000000000000000;21,62;0;178,31;6;0.060000;1;Carta di credito
136;Nadia Lancisi;47;Italia;Femmina;436;63;19;2999,71;1.310000000000000000;16,45;0;157,88;6;0.030000;4;PayPal
137;くみ子 前田;43;Giappone;Femmina;1106;15;66;11596,62;1.790000000000000000;23,33;0;175,71;6;0.040000;7;Carta di credito
138;Pénélope Bigot;40;Francia;Femmina;459;26;18;5566,94;1.180000000000000000;21,48;0;309,27;6;0.030000;2;Bonifico bancario
139;Gianluca Bianchi;37;Italia;Maschio;553;13;17;7267,8;0.920000000000000000;31,13;0;427,52;6;0.030000;4;Carta di credito
140;Jonas Gnatz;48;Germania;Maschio;513;10;15;2840,84;0.880000000000000000;45,57;0;189,39;6;0.000000;3;Carta di credito
141;Kathryn Thompson;31;Canada;Femmina;87;28;3;2406,99;1.030000000000000000;0,71;0;802,33;3;0.000000;2;Carta di credito
142;Romana Bonatti;51;Italia;Femmina;1123;11;58;11880,04;1.550000000000000000;24,27;0;204,83;6;0.010000;5;Contrassegno
143;Tiziana Vigliotti;58;Italia;Femmina;48;45;1;129,57;0.630000000000000000;21,95;1;129,57;3;0.000000;0;Carta di credito
144;Samuel Van Dommelen;29;Paesi Bassi;Maschio;567;1;18;7103,41;0.950000000000000000;30,09;0;394,63;6;0.030000;2;Carta di credito
145;Grete Trubin;18;Germania;Femmina;25;2;2;1457,6;2.000000000000000000;21,95;1;728,8;4;0.000000;0;Carta di credito
146;Ruggero Romagnoli;48;Italia;Maschio;703;5;67;17343,94;2.860000000000000000;10,62;0;258,86;6;0.020000;7;PayPal
147;Melina Miniati;45;Italia;Femmina;879;32;53;14061,18;1.810000000000000000;13,02;0;265,31;6;0.030000;5;Carta di credito
148;Jenna Sharp;42;Stati Uniti;Femmina;962;41;51;11867,92;1.590000000000000000;18,22;0;232,7;6;0.020000;8;Carta di credito
149;Tabea Geisler;46;Germania;Femmina;297;21;3;406,39;0.300000000000000000;24,04;0;135,46;3;0.330000;2;PayPal
150;Apolonia Piotrkowicz;37;Polonia;Femmina;1068;44;55;12304,03;1.540000000000000000;16,77;0;223,71;6;0.030000;8;Bonifico bancario
151;Lidia Boba;52;Polonia;Femmina;990;14;54;11381,28;1.640000000000000000;26,18;0;210,76;6;0.020000;4;Bonifico bancario
152;Frida Kühnert;30;Germania;Femmina;653;19;16;6591,61;0.740000000000000000;30,13;0;411,98;6;0.030000;2;Bonifico bancario
154;Costantino Marangoni;44;Italia;Maschio;150;25;8;1239,6;1.600000000000000000;7,02;0;154,95;6;0.000000;1;PayPal
155;Leonard Wiedner;40;Austria;Maschio;619;35;22;6117,49;1.070000000000000000;26,39;0;278,07;6;0.040000;4;Carta di credito
156;Lorenzo Paolini;41;Italia;Maschio;167;48;7;710,08;1.260000000000000000;21,42;0;101,44;5;0.000000;1;PayPal
157;Elvira Maccanelli;42;Italia;Femmina;661;31;23;2874,66;1.040000000000000000;26,05;0;124,99;6;0.020000;4;Contrassegno
158;Martino Travaglia;44;Italia;Maschio;1070;8;104;18381,29;2.920000000000000000;11,45;0;176,74;6;0.030000;16;PayPal
159;稔 井上;28;Giappone;Maschio;1288;15;75;18131,96;1.750000000000000000;14,96;0;241,76;6;0.040000;11;Bonifico bancario
160;Gianna Vidoni;31;Italia;Femmina;1299;7;66;13128,41;1.520000000000000000;17,04;0;198,92;6;0.020000;6;PayPal
161;Ronya Haller;34;Austria;Femmina;898;11;84;21306,25;2.810000000000000000;9,31;0;253,65;6;0.020000;19;PayPal
162;Calogero Giannini;24;Italia;Maschio;543;9;27;5347,88;1.490000000000000000;24,18;0;198,07;6;0.060000;2;Contrassegno
163;Annibale Donarelli;47;Italia;Maschio;548;10;20;2842,19;1.090000000000000000;23,16;0;142,11;6;0.060000;4;Carta di credito
164;Serafina Carnera;34;Italia;Femmina;734;2;37;11234,59;1.510000000000000000;23,14;0;303,64;6;0.010000;7;PayPal
165;Allen Pierce;24;Stati Uniti;Maschio;592;14;19;6853,51;0.960000000000000000;35,48;0;360,71;6;0.020000;6;Carta di credito
166;Elvira Mercati;36;Italia;Femmina;326;1;19;3022,77;1.750000000000000000;15,24;0;159,09;6;0.050000;0;PayPal
167;Annemijn Van Cuijck;42;Paesi Bassi;Femmina;162;7;6;503,86;1.110000000000000000;19,86;0;83,98;5;0.000000;0;Bonifico bancario
168;Fenna Wensen;51;Paesi Bassi;Femmina;183;18;3;520,31;0.490000000000000000;62,93;0;173,44;4;0.000000;1;Bonifico bancario
169;Romina Alboni;31;Italia;Femmina;462;1;21;6689,11;1.360000000000000000;16,61;0;318,53;6;0.000000;2;Contrassegno
170;Maryam Heijmen;50;Paesi Bassi;Femmina;702;34;31;5646,48;1.320000000000000000;23,63;0;182,14;6;0.020000;5;Carta di credito
171;Brian Evans;28;Regno Unito;Maschio;276;6;7;2431,25;0.760000000000000000;23,1;0;347,32;5;0.000000;0;Carta di credito
172;Dion Blom;38;Paesi Bassi;Maschio;571;4;28;6660,84;1.470000000000000000;18,6;0;237,89;6;0.020000;4;Carta di credito
173;Jeannine Dupuy;18;Francia;Femmina;45;10;5;811,32;3.330000000000000000;2,22;0;162,26;5;0.080000;0;Bonifico bancario
174;Dorothee Grein Groth;41;Germania;Femmina;491;1;13;6110,48;0.790000000000000000;29,03;0;470,04;5;0.030000;2;PayPal
175;André Pereira;37;Brasile;Maschio;352;16;10;3368,35;0.850000000000000000;26,04;0;336,84;5;0.000000;0;PayPal
176;Pablo Dalmau;50;Spagna;Maschio;429;32;22;3628,12;1.540000000000000000;21,78;0;164,91;6;0.020000;3;Carta di credito
177;Alina Pozzecco;48;Italia;Femmina;238;2;9;1842,08;1.130000000000000000;9,86;0;204,68;6;0.000000;2;PayPal
178;Vittorio Cimini;29;Italia;Maschio;271;0;12;2028,38;1.330000000000000000;15,06;0;169,03;5;0.000000;1;Contrassegno
179;Sonia Jockel;51;Germania;Femmina;1205;9;62;15024,56;1.540000000000000000;17,66;0;242,33;6;0.020000;12;PayPal
180;Rudy Mahieu;35;Belgio;Maschio;1107;1;55;14949;1.490000000000000000;20,8;0;271,8;6;0.010000;6;Bonifico bancario
181;Jamie Kucera;46;Austria;Maschio;599;8;18;4957,67;0.900000000000000000;35,22;0;275,43;5;0.040000;6;Bonifico bancario
182;Martina Henk;36;Germania;Femmina;162;5;3;495,41;0.560000000000000000;6,36;0;165,14;3;0.000000;1;PayPal
183;Benito Cibin;24;Italia;Maschio;911;7;57;9512,02;1.880000000000000000;14,36;0;166,88;6;0.060000;8;Carta di credito
184;Maricruz Cantón;37;Spagna;Femmina;642;2;53;9045,63;2.480000000000000000;10,93;0;170,67;6;0.000000;19;Bonifico bancario
185;Justyna Malisz;53;Polonia;Femmina;546;8;23;7403,55;1.260000000000000000;18,15;0;321,89;6;0.020000;2;Bonifico bancario
186;Cristina Abba;23;Italia;Femmina;1076;1;66;10019,93;1.840000000000000000;14,41;0;151,82;6;0.020000;10;Contrassegno
187;Licia Comeriato;53;Italia;Femmina;405;42;17;4951,42;1.260000000000000000;18,26;0;291,26;6;0.120000;2;Carta di credito
188;香織 青木;38;Giappone;Femmina;791;9;42;6598,29;1.590000000000000000;18,88;0;157,1;6;0.030000;6;Carta di credito
189;Malwina Tonder;40;Polonia;Femmina;759;16;37;8032,31;1.460000000000000000;18,36;0;217,09;6;0.060000;5;Bonifico bancario
190;Nick Wouters;27;Belgio;Maschio;975;8;54;12574,59;1.660000000000000000;27,2;0;232,86;6;0.030000;10;Bonifico bancario
191;Roksana Jarmużek;38;Polonia;Femmina;439;33;38;6638,26;2.600000000000000000;9,4;0;174,69;6;0.070000;9;Bonifico bancario
192;Tatiana Sagredo;47;Italia;Femmina;1079;6;55;9082,15;1.530000000000000000;18,75;0;165,13;6;0.030000;8;Contrassegno
193;Telemaco Baglioni;33;Italia;Maschio;1021;47;57;14045,31;1.670000000000000000;21,85;0;246,41;6;0.020000;8;Contrassegno
194;Ben De Neve;59;Belgio;Maschio;725;3;33;9965,58;1.370000000000000000;17,36;0;301,99;6;0.000000;6;Carta di credito
195;Liana Bazzi;27;Italia;Femmina;1047;6;54;13645,78;1.550000000000000000;22,15;0;252,7;6;0.020000;12;Carta di credito
196;Liliana Sauro;27;Italia;Femmina;77;58;2;523;0.780000000000000000;21,95;1;261,5;3;0.000000;3;Contrassegno
197;Pasqual Versace;28;Italia;Maschio;253;2;9;1745,12;1.070000000000000000;24,49;0;193,9;6;0.000000;1;Bonifico bancario
198;Claudia Taccola;38;Italia;Femmina;638;1;27;6140,83;1.270000000000000000;19,21;0;227,44;6;0.020000;4;PayPal
199;Seppe Goovaerts;43;Belgio;Maschio;338;18;11;2234,74;0.980000000000000000;22,75;0;203,16;6;0.000000;1;Carta di credito
200;Jorge Menéndez;46;Spagna;Maschio;213;27;7;1328,75;0.990000000000000000;25,48;0;189,82;5;0.000000;2;Bonifico bancario
201;Aimé Leleu;40;Francia;Maschio;715;39;33;9632,44;1.380000000000000000;21,04;0;291,89;6;0.060000;5;Bonifico bancario
202;Desiderio Andrade;26;Spagna;Maschio;838;62;37;12606,45;1.320000000000000000;23,56;0;340,71;6;0.040000;5;Carta di credito
203;Lazzaro Bettin;50;Italia;Maschio;1278;41;46;12061,33;1.080000000000000000;23,47;0;262,2;6;0.030000;8;PayPal
204;Luisa Canil;24;Italia;Femmina;85;48;2;41,18;0.710000000000000000;21,95;1;20,59;2;0.000000;0;PayPal
